year,exporter_code,exporter,importer_code,importer,value_usd,net_kg,unit_usd_kg,provisional
2014,528,Netherlands,642,Romania,420348.067,36996.589,11.3618,False
2014,616,Poland,246,Finland,407821.0,77108.0,5.289,False
2014,124,Canada,392,Japan,404742.0,44126.0,9.1724,False
2014,616,Poland,40,Austria,401685.0,90189.0,4.4538,False
2014,604,Peru,724,Spain,379567.2,40642.23,9.3392,False
2014,724,Spain,703,Slovakia,379387.65,36456.0,10.4067,False
2014,124,Canada,826,United Kingdom,373914.0,235490.0,1.5878,False
2014,251,France,579,Norway,366032.0,45457.0,8.0523,False
2014,528,Netherlands,620,Portugal,364050.597,28543.696,12.7542,False
2014,724,Spain,203,Czechia,358075.189,36312.5,9.8609,False
2014,152,Chile,380,Italy,344549.16,56332.5,6.1163,False
2014,528,Netherlands,428,Latvia,336085.841,25770.961,13.0413,False
2014,56,Belgium,442,Luxembourg,332039.855,28794.16,11.5315,False
2014,56,Belgium,440,Lithuania,330269.842,28716.73,11.501,False
2014,251,France,56,Belgium,330137.0,46562.0,7.0903,False
