year,role,reporter_code,country,value_usd,net_kg,unit_usd_kg,rank,share,cum_share,provisional
2023,exporter,152,Chile,282069751.036,96053658.672,2.9366,5,0.03763,0.7716,False
2023,exporter,376,Israel,246909000.0,100068767.624,2.4674,6,0.03294,0.80454,False
2023,exporter,170,Colombia,200900535.23,0.0,0.0,7,0.0268,0.83134,False
2023,exporter,504,Morocco,152663081.407,47498587.25,3.2141,8,0.02037,0.85171,False
2023,exporter,710,South Africa,144429901.827,70937556.16,2.036,9,0.01927,0.87098,False
2023,exporter,404,Kenya,140939932.262,122580959.78,1.1498,10,0.0188,0.88978,False
2023,exporter,842,USA,128417082.0,53822534.0,2.3859,11,0.01713,0.90691,False
2023,exporter,251,France,100357086.6,37575540.0,2.6708,12,0.01339,0.9203,False
2023,exporter,214,Dominican Rep.,97197153.105,68868417.19,1.4113,13,0.01297,0.93327,False
2023,exporter,276,Germany,59667487.422,17502380.64,3.4091,14,0.00796,0.94123,False
2023,exporter,36,Australia,51163375.027,16624469.4,3.0776,15,0.00683,0.94806,False
2023,exporter,76,Brazil,39024982.0,26164715.341,1.4915,16,0.00521,0.95327,False
2023,exporter,834,United Rep. of Tanzania,37453614.55,27539381.34,1.36,17,0.005,0.95827,False
2023,exporter,620,Portugal,34592397.661,11146186.51,3.1035,18,0.00462,0.96289,False
2023,exporter,344,"China, Hong Kong SAR",34012744.141,15715947.0,2.1642,19,0.00454,0.96743,False
2023,exporter,56,Belgium,30761970.995,8873915.72,3.4666,20,0.0041,0.97153,False
2023,exporter,554,New Zealand,28093841.707,9245492.0,3.0387,21,0.00375,0.97528,False
2023,exporter,616,Poland,19614032.0,8347247.277,2.3498,22,0.00262,0.9779,False
2023,exporter,826,United Kingdom,18679430.873,0.0,0.0,23,0.00249,0.98039,False
2023,exporter,320,Guatemala,16257285.0,12225919.0,1.3297,24,0.00217,0.98256,False
2023,exporter,784,United Arab Emirates,15544743.983,9146403.2,1.6995,25,0.00207,0.98463,False
2023,exporter,705,Slovenia,13045183.14,4138094.054,3.1525,26,0.00174,0.98637,False
2023,exporter,208,Denmark,10874208.984,3711016.0,2.9303,27,0.00145,0.98782,False
2023,exporter,348,Hungary,9378552.335,3500047.0,2.6796,28,0.00125,0.98907,False
2023,exporter,440,Lithuania,8812544.0,3173151.8,2.7772,29,0.00118,0.99025,False
2023,exporter,380,Italy,8458092.946,2949497.0,2.8676,30,0.00113,0.99138,False
2023,exporter,792,Türkiye,8073677.0,5728136.0,1.4095,31,0.00108,0.99246,False
2023,exporter,508,Mozambique,5502000.0,5988640.0,0.9187,32,0.00073,0.99319,False
2023,exporter,800,Uganda,5124842.65,7288564.0,0.7031,33,0.00068,0.99387,False
2023,exporter,422,Lebanon,4530135.0,1624856.055,2.788,34,0.0006,0.99447,False
2023,exporter,203,Czechia,4273751.0,995686.33,4.2923,35,0.00057,0.99504,False
2023,exporter,428,Latvia,4063151.213,1214713.323,3.3449,36,0.00054,0.99558,False
2023,exporter,300,Greece,3888958.839,1785527.0,2.178,37,0.00052,0.9961,False
2023,exporter,218,Ecuador,2874104.2,0.0,0.0,38,0.00038,0.99648,False
2023,exporter,608,Philippines,2158715.0,874897.026,2.4674,39,0.00029,0.99677,False
2023,exporter,104,Myanmar,2033625.89,3169500.0,0.6416,40,0.00027,0.99704,False
2023,exporter,716,Zimbabwe,1905174.72,5579050.0,0.3415,41,0.00025,0.99729,False
2023,exporter,558,Nicaragua,1783419.46,5553468.0,0.3211,42,0.00024,0.99753,False
2023,exporter,40,Austria,1602995.867,353935.0,4.5291,43,0.00021,0.99774,False
2023,exporter,191,Croatia,1538248.0,474059.7,3.2448,44,0.00021,0.99795,False
2023,exporter,231,Ethiopia,1479058.808,4870637.0,0.3037,45,0.0002,0.99815,False
2023,exporter,702,Singapore,1477813.606,435240.0,3.3954,46,0.0002,0.99835,False
2023,exporter,268,Georgia,1181778.688,398093.0,2.9686,47,0.00016,0.99851,False
2023,exporter,752,Sweden,1058513.551,330530.369,3.2025,48,0.00014,0.99865,False
2023,exporter,458,Malaysia,954306.776,718889.0,1.3275,49,0.00013,0.99878,False
2023,exporter,108,Burundi,936510.966,379554.809,2.4674,50,0.00012,0.9989,False
2023,exporter,384,Côte d'Ivoire,919998.026,14226349.0,0.0647,51,0.00012,0.99902,False
2023,exporter,212,Dominica,889048.0,202901.0,4.3817,52,0.00012,0.99914,False
2023,exporter,818,Egypt,722406.2,292781.139,2.4674,53,0.0001,0.99924,False
